Country;Country Short;1960;1970;1980;1990;2000;2010;2020
Canada;CAN;17909356;21324000;24515667;27691138;30685730;34005902;38028638
China;CHN;667070000;818315000;981235000;1135185000;1262645000;1337705000;1411100000
France;FRA;46649927;51724116;55052582;58044701;60921384;65030575;67571107
Germany;DEU;72814900;78169289;78288576;79433029;82211508;81776930;8316087
Greece;GRC;8331725;8792806;9642505;10196792;10805808;11121341;10698599
India;IND;445954579;557501301;696828385;870452165;1059633675;1240613620;1396387127
Japan;JPN;93216000;103403000;116807000;123478000;126843000;128070000;126261000
Switzerland;CHE;5327827;6180877;6319408;6715519;7184250;7824909;8638167
Turkiye;TUR;27510980;35540990;44089069;54324142;64113547;73142150;83384680
United Kingdom;GBR;52400000;55663250;56314216;57247586;58892514;62766365;67081234
United States;USA;180671000;205052000;227225000;249623000;282162411;309327143;331526933
